user_name,rating,review,date,restaurant
Pt123123,50.0,"In N Out Double Double Hamburgers with grilled onions (you need to ask for grilled onions otherwise you get raw onions) is the best hamburger, just like in the good old days (1950s and 1960s). If you prefer no cheese, ask for a Double Double...No Cheese with grilled onions. This saves calories. Their thin french fries are very addicting also, but they pair well with the Double Double. Adding a shake is another treat and more calories, but you only live once so it's a treat to eat at In N Out once a month or more.More",September 2020,In N Out Burger
Moriah_97,50.0,"Had my first In N Out Burger and it was delicious! I am not a burger person, but i have already eaten here three times on my trip here in Cali! Love the fries! And the price is decent!",March 2020,In N Out Burger
55W,50.0,"Always fresh food and the best service anywhere!
No zombies here‼️ The only hamburgers my wife likes.
“Fast food “ as it should be. With a smile!!",February 2020,In N Out Burger
drroz2018,50.0,"The best burgers in the area, excellent service, efficient ordering process that moves the line very quickly.",January 2020,In N Out Burger
105marionc,50.0,In N Out is my very favorite Burger 🍔 place.  Have enjoyed their burgers and fries for many years.  I especially like the animal style cheeseburger.,November 2019,In N Out Burger
jhansler,50.0,Great burger place - sticking to the basics and delivering each and every time. Staff is courteous and fast.,October 2019,In N Out Burger
_ggilboe,40.0,Amazing food!  Best burgers in town.  Crazy delicious fries (eat them while they're still warm!).  Shakes are the best!!  Delicious!  But expect to spend some time in the drive-thru line most evenings.  Not that the service isn't good - they are particularly friendly and helpful....Just expect to be in the drive thru line for 10-15 minutes.More,October 2019,In N Out Burger
luciamemmo,40.0,Easiest decision making ever - cheeseburger fabulous so fresh and tasty!   Chocolate milkshake was so delicious.  We sat inside and it was very clean and staff super friendly.  If I have 1 criticism the fries were not that tasty but the burger was so big...I didn’t feel cheated!!!!More,October 2019,In N Out Burger
charliewils0n,40.0,"Usually very good.  Lately some inconsistency with quality.  Service very, very good. In N Out on Beach Blvd. in Huntington Beach always quite busy.  The staff gets you through(drive thru) as fast as possible. They hire the best people and train them well.
As mentioned...the burgers sometimes are very good, and other times just good. You must eat fries while they are warm or hot, otherwise not as good.  Probably a dozen burger places within 2 miles both ways on beach, and In n Out and The Habit are busiest.More",August 2019,In N Out Burger
Mo C,50.0,"Never disappointed with an Animal style burger, a whole mess of cascabel peppers, hot fries and a Diet Coke.  The Lines moved quickly and except for a few smelly, unkempt 5150 (loony) vagrants hanging around outside competing with the 
birds, scavenging for scraps and garbage...I like the experience and fast food.More",September 2019,In N Out Burger
Mamadebi1,50.0,"They never disappoint. Always long lines....but worth the wait. 
If I go inside it is always clean and the workers always friendly.",September 2019,In N Out Burger
sirputz2017,50.0,"south of the 405 frwy on Harbor Blvd in Costa Mesa.
Its a busy place but the food is fresh and hot and great. Clean bathrooms and tables and  a full staff to help everyone to get their food and be happy and clean.",July 2019,In N Out Burger
nickthepackerbacker,50.0,"Goes without saying, if you’re near an In n Out burger stop!!  They are the best and the most fresh. We stop at them every time we visit from the Midwest. Don’t forget that they have the ever famous secret menu!",August 2019,In N Out Burger
Canandaigualoungers,50.0,"Visiting daughter in CA. Had heard how great the double burger and animal fries were from her and my son who has visited several times. They can't get enough and I see why, although I found myself eating part of the paper around the burger...More",July 2019,In N Out Burger
Esther S,50.0,"Absolutely delicious! Excellent fast service! Awesome in every area!! High chairs available. Prices are low, fantastic value!",July 2019,In N Out Burger
intoreality,50.0,"We were visiting the West Coast coming from an area without IN N Out so when we landed at the airport it was one of our first stops. We have eaten In N Out before and loved it, this location did not disappoint. Restaurant despite...More",June 2019,In N Out Burger
Dee Dee M,50.0,"Best burger EVER!!  First thing we do when family and friends visit California, go to In and Out!! Hasn’t changed since it first opened. They treat their employees like family!",June 2019,In N Out Burger
craigh210,50.0,Classic burger.  Get it animal style with extra pickles.  Its messy and pretty tasty but a must try if visiting california.,June 2019,In N Out Burger
Lisa C,50.0,This is a typical in and out burger. The service was very fast and the burger and fries are awesome.,June 2019,In N Out Burger
EE221018,50.0,Straight from Long Beach airport went to H.B. In N Out. My guest from Ireland and New York requested In N Out burgers. Told them about the secret menu which they ordered 3x3 and 4x4 burger with the animal style fries and shakes. They just...More,May 2019,In N Out Burger
WWS2,10.0,"We went with the hype and tried In N Out. 
OVERHYPED 
A long wait in line, $15 for 2 burgers that were very disappointing. A smashed burgers-which dries it out (ask Chef Ramsey) and was the the size of a $1 hamburger at any other...More",May 2019,In N Out Burger
lee9,50.0,"You know you have to stop every time you drive by....the place was packed but they are very fast and the wait was not too bad!  I love ordering from their secret menu, makes it fun.  The double-double with a shake & fries is $8.50...so...More",May 2019,In N Out Burger
220michelef,50.0,"Can't travel to California without a stop, or two, at an In N Out Burger. As good as ever! Had a chocolate shake for the first time though, just ehh, I'd pass next time and get fries.",May 2019,In N Out Burger
146arleeng,50.0,never disappointed. always fresh with the best service. Grilled or fresh onions only add to the flavor and the price is right.,May 2019,In N Out Burger
Dean W,50.0,"who doesn't like In n Out, great fresh food!!! This place always has food that is great any time of the day or night!",March 2019,In N Out Burger
Mike P,50.0,"I don't eat beef but love to go to In N Out Burger as they have great fries and fix me a grilled cheese type of sandwich.  Just order a grilled cheese, add extra cheese (how ever many more slices of cheese you want) and...More",May 2019,In N Out Burger
JosePonsA,50.0,"I like burgers but this one of ,my favorite places. Once you eat there, you wil come back for more time after tme. You just like it the way they are.",April 2019,In N Out Burger
MSM848,50.0,My son had been going on and on about in and out for so long it was time to try. Somewhere between McDonald’s and FIve Guys but different. Really liked the fries cooked in sunflower oil. Really busy restaurant and drive thru. Simple menu of...More,April 2019,In N Out Burger
714surferb,50.0,"First thing she said when she got off the plane : “Can we stop at In-N-Out burger?”
Excellent choice!  Always perfect!",February 2019,In N Out Burger
ValeriaSaya,50.0,"In and out has the best burgers ever. They have a really good sauce. Personal is always clean and kind. If I want fast food, I’ll go there",February 2019,In N Out Burger
M6149WHwalters,50.0,"In and Out is the old standby for a quick burger and fries that satisfies everyone's craving.
You just can't go wrong!",April 2019,In N Out Burger
micalgonian,50.0,Busy but they are open 10 am to 2 am so theres lots of times to try it.  Park in the Walmart parking lot and then walk in for faster service.,April 2019,In N Out Burger
humphrey5651,50.0,"Best burger on the West Coast.  Cook to order.  One of the best burgers around.  Meat never frozen, it’s a fresh clean burger.  And try it animal style....",January 2019,In N Out Burger
aokey,50.0,"Best burger.  Consistent.  Avoid peak hours - lunch, dinner.  Busy and high volume little fast food chain.  It is family own and has many locations.  Google and you can find it.",February 2019,In N Out Burger
