user_name,rating,review,date,restaurant
Ray M,50.0,"My wife and I stopped here for lunch because it was an easy location for us.  The menu is simple enough, Burgers, sides and a drink.  Once our selection's  were completed and delivered, we sat outside to enjoy our meal.  Dining inside is not an...option at the time of this review.  The waitstaff is very helpful and friendly.  I highly recommend this location.  I hope you find this review helpful in making your next dining plans.More",March 2021,In-N-Out Burger
Judy G,50.0,"We are at a time of reckoning...... Yes,  its come down to drive thru or pick-up and we treasure your services at this time in our lives......... It's so dangerous out there at this time... yes your burgers are classics....... but we thank you for...serving us and appreciate your services at this dreadful time in our lives.......  God Bless you and Be SafeMore",April 2020,In-N-Out Burger
11dragon64,50.0,A staple of our family visits to SoCal. I like the protein double-double replacing bun for lettuce wrap.  Totally dig the retro vibe and throwback to 50s era drive-thrus.,March 2020,In-N-Out Burger
Yenyok,40.0,"The best Burger in LA. nothing more nothing less. 
I tried others and are not close to this one. very crispy.",February 2020,In-N-Out Burger
Comanderkody,30.0,Went to the one on Sunset near Hollywood boulevard so it was packed. Line move very quick for the number of people. Wasn't hard to find a place to sit. Fries were really good.  Got the double double animal style. It was good but don't...More,February 2020,In-N-Out Burger
Phil-Uppa,50.0,"Literally the best burger in town, hugely popular so don’t be put off if there’s a queue, orders taken promptly and food wait only about 12 minutes. Make sure you don’t miss out on this ‘must have’ whilst in the Wood",February 2020,In-N-Out Burger
Megan K,30.0,"This was my first time to ever go to an In-N-Out Burger. When we first arrived, I was startled by how crowded it was! There was a line of cars down the block, and there was a long line of people once we'd entered the...More",January 2020,In-N-Out Burger
JessieB112277,40.0,"We stopped by during a walking tour of Hollywood.  it was during the week and schools had just gotten out, so this place was crowded.  But they moved it along pretty quickly.  Our wait was a bit longer than normal for fast food, but not...More",November 2019,In-N-Out Burger
Toni O,50.0,In and Out on Sunset & Highland is simply the Best. No burger joint comes even close. The lines can be a bit lengthy... But the wait is definitely worth it! Simply the Best.,November 2019,In-N-Out Burger
Melaniaxoxo,50.0,"So I'm from the East Coast and here our burger place is Five Guys, which we love. We were dying to try In and Out Burger on our Cali vacation! The burgers here were so so delicious and did not disappoint.  However, the fries were...More",May 2019,In-N-Out Burger
wallyreidjr,50.0,"Really an experience to be had and everything is true, great burger and always very crowded, the drive up doesn't take long to fill up and you can park, go in and be out before the others who didn't. Always fresh, always hot, great variety,...More",April 2019,In-N-Out Burger
keithg547,50.0,"Simple effective and great burgers at an affordable price, heard a lot about this place and so many people told us to try it, glad we did. If you go to LA try it out you will love it",January 2020,In-N-Out Burger
MarkLBoston,50.0,"Why can't we get In-N-Out on the East Coast?  Well, we can't, so it was mandatory to make a stop while I was in LA recently. And it was as good as I remembered it from my last trip.  The burgers and fries are tasty....More",December 2019,In-N-Out Burger
jamesmckennedy,50.0,Despite In-N-Out is fast food chain spread across west coast. It's my favourite fast food chain! As soon as I knew it already before my visit this restaurant was amazing. It was most crowded branch I have visited so far but my experience over here...More,October 2019,In-N-Out Burger
sushi2008Calgary,40.0,"Lineup was really long, be prepared for that.  Guess this is the sign showing the food is good.  If it's a good day, sit outside to enjoy the burgers and fries.  Believe this is a must-visit place of L.A.",December 2018,In-N-Out Burger
rschmitt73,50.0,"As with most In-N-Out locations, this place is BUSY! Even with that, the place was clean and orders came out at a brisk pace. We placed some specific requests and they were spot-on correct. The soda fountain and condiment counters were clean and well stocked...More",November 2019,In-N-Out Burger
DOMINIQUEBEV,40.0,"The right place for someone who got off from a long-haul flight to get some real LA flavor. Double-double can be a little messy but you won't regret to order it with a choco-shake. For someone who is on a diet, go for the Protein...More",October 2019,In-N-Out Burger
LeslieP69,40.0,"Very kind and fast service, although the place was fullat 5 pm, we didn’t have to wait long. I have to admit, it’s not my favorite burger, I expacted more.",October 2019,In-N-Out Burger
jackboulevard,50.0,In n out is easily my fav burger in LA. Always so fresh and delicious! Never forget to stop in when we are in town!,October 2019,In-N-Out Burger
Fallie A,40.0,I enjoyed the Burgers. I really good flavor. The service was excellent to be a fast food restaurant. I was in town visiting from North Carolina. The server at the first registered when you walk into the door was great. He gave really good feedback...More,October 2019,In-N-Out Burger
Foxtrot90,50.0,"The place was packed, 40 or so orders pending before mine and my husbands but they got through it QUICK. Simple menu, executed well. Parking was tight, arrived at 1.30pm on a Friday but managed to get a space, order, eat and out by 2...More",October 2019,In-N-Out Burger
JaniceD884,50.0,"Visited at request of my two teenagers. Figured if the hollywood A listers eat here after the Oscar's it must be good. And it was. As fast food goes this is at the top. All food cooked to order, not just kept warm. Really tasty...More",June 2019,In-N-Out Burger
MissShotcaller,50.0,"For a decent burger and fries at a huge cheap price, my kids love this place while on the West Coast.., the drive thru is always faster than going in",October 2019,In-N-Out Burger
F6434WKsimonm,30.0,"I’d heard a lot of hype about this chain and was expecting more, anyone going here should not lose sight that it is fast food, it’s mcdonalds with fresh lettuce and tomato not worth writing home about.......",September 2019,In-N-Out Burger
L4833DCnickr,50.0,"Ok so I grew up 15 minutes from here and let me tell you something. This In n Out is pretty much always busy but they are extremely efficient. The food is delicious and cheap, what more could you want. Also if anyone complains about...More",September 2019,In-N-Out Burger
mariposa201075,40.0,"Good burgers not great... no place to park!  Staff is efficient, order was handled in a timely matter",August 2019,In-N-Out Burger
698monicav,40.0,"I really thing that the success you In and Out is their simple menu and the way they handle the food. Their recipe is very simple but you can customize your hamburger any way you want, and they don’t mind, their signature salsa is great...More",August 2019,In-N-Out Burger
angieavilar,40.0,I was a little disappointed because the food did not live up to the hype. I heard this was the best burger in the world but turned out just a good burger. The place was very crowded and there was queue of cars and people....More,August 2019,In-N-Out Burger
jawsie1,50.0,The burgers here are worth the hype - the fries are less good. However be prepared for crazy queues and limited / no seating options.,September 2019,In-N-Out Burger
trinhv0803,30.0,Of course when you're in Cali you have to try In-N-Out. In my opinion the hype is totally overrated! The restaurant was very hectic. They have security there to try to keep people in check/line. The turnaround is very fast so for us it was...More,June 2019,In-N-Out Burger
RichardBSutton,50.0,"Busy busy.

Drive thought was original intention but there must have been 10 or more cars in the queue.

Eventually parked and sat down to eat. Place was packed but managed to get an outside table. Table cleaned for us. 

Saw all the food being...More",August 2019,In-N-Out Burger
disneycjd,50.0,"We had an awesome meal here. Using the secret menu we had animal style burgers and neo shakes.  I didn’t like the fires but the Mrs did and so not marking them down for that. 

The place was very busy but they dealt with it...More",August 2019,In-N-Out Burger
TheScottRose,50.0,"It’s my first stop when I arrive from LAX. Just drive thru and order a number one. It’s a classic. Best fast food burger, period.",August 2019,In-N-Out Burger
SelmaFonseca,50.0,"Best fast-food, the burger is cooked to order and the fries are awesome!
If you want to be a little healthy they have a secret item which is not in the menu, The protein!
Burger wrapped with lettuce instead of bread, try it!
I recommend!",March 2019,In-N-Out Burger
KL_Hedberg,50.0,"Can't pass one up without stopping for a double-double, fries and a chocolate shake.  Delicious.  Amazed at how crowded it is all the time!",August 2019,In-N-Out Burger
hktransplant,50.0,One of the place in my bucket list and the animal style burger is out of this world... Double burgers with fries,August 2019,In-N-Out Burger
HattyS,50.0,"Husband was desperate to visit on our stopover in LA and the burgers (used the secret menu for our whole order), fries and floats were to die for. We are big burger lovers and it didn’t disappoint. Tricky to get a table- we arrived at...More",August 2019,In-N-Out Burger
ajdp2015,30.0,"Burgers tasty but very long queue and very little hope of finding somewhere to sit.
Prices good and lots of food.",August 2019,In-N-Out Burger
Searching11,50.0,"We are from the East Coast and our kids were dying to eat there and it didn’t disappoint.  The food was great, restaurant was clean and menu was simple.",July 2019,In-N-Out Burger
sarareddeer,50.0,The best hamburger! It was also cheap to eat there and stuff super friendly! This place is must go!!!!,July 2019,In-N-Out Burger
Duerds5,50.0,What a place this is. Definitely do the drive thru as the queues inside are huge! Make sure you get the animal sauce too!,August 2019,In-N-Out Burger
Q2465UIjohnm,40.0,"I had heard about In-N-Out for years and decided to give it a try. The place was a mobscene, so not the most pleasant experience ordering and eating. Take it to go. The double I had was delicious - probably the best burger I have...More",July 2019,In-N-Out Burger
hmill42894,40.0,"Stopped here right before I left LA. I've had In-N-Out before, but as a vegetarian their menu is pretty limited. That being said, their fries and shakes are pretty good, and you can't beat the price! It's a California staple, and everyone should try it...More",April 2019,In-N-Out Burger
Frank G,50.0,"This is hands down in the run and possibly one of the best fast food hamburger around. Not to mention even though the pricing have increased recently, it is still a reasonably priced burger.  Burgers have gone through many remakes and most places charges a...More",July 2019,In-N-Out Burger
Voy A,40.0,"While visiting LA with my two children, I reluctantly agreed on trying the In-N-Out Burgers for Lunch. It turned out to be a great choice. Very tasty, simply with only 3 items on the menu and fries made from scratch. The best above all, is...More",July 2019,In-N-Out Burger
TracyG3,50.0,Went to an In-N-Out Burger restaurant near Las Vegas. Really cute atmosphere!! Has a 50’s-60’s vibe. Great food 🍔🍟and well priced😍,July 2019,In-N-Out Burger
Lynne_Verwaard,40.0,After a long flight followed straight up by a long day trip to Disneyland we were all hungry so it was great to get back to our hotel in Hollywood to see an In-Out Burger a couple of hundred metres down the road and walkable....More,July 2019,In-N-Out Burger
tripledec,40.0,I expected this place to be phenomenal and it was good but I wasn't blown away by it. I will say the hamburger was excellent (I liked that it was big in diameter) and service fast at the drive-thru. The place was very busy and...More,July 2019,In-N-Out Burger
jacquelinea757,50.0,Visited on our last day in Hollywood and read reviews of how busy the place was but can I say do not be put off by the queues inside. The staff are excellent and very organised . We were in and out within 40 minutes...More,July 2019,In-N-Out Burger
elena111633,50.0,My family was excited to try the restaurant while in vacation in California.  We were not disappointed!  The burgers (ordered Animal Style) came with fried onions and were really delicious!  The service is fast and efficient.  Very enjoyable!,July 2019,In-N-Out Burger
siklista,50.0,In-n-out remains a staple food when in california. A trip in the US is not complete without a meal here. Love the grilled onions and animal fries,June 2019,In-N-Out Burger
maemapa,40.0,"It is really popular in the states and there’s always a line every time I go here. Its very cheap and affordable but they have good food as well. Like the fries and milkshakes. Burgers are okay but considering the price, well that’s a pretty...More",November 2018,In-N-Out Burger
Natesmith1016,50.0,"This is probably the most packed in n out in LA, so I really don’t recommend it unless you’re in Hollywood doing something. That said, the queues usually go pretty fast as is custom at in n out, so if you do have to go,...More",June 2019,In-N-Out Burger
scoredina,30.0,i ate here twice and i just couldn't find the reason why people are going gaga over the burgers. kudos to the fresh potatoes but that's about it for me. service is pretty quick even there's a lot of traffic.,November 2018,In-N-Out Burger
Brian Q,30.0,I can't understand why anyone makes a big deal of this place.  The food is fine.  It's a burger joint with a limited menu.  The crowd is huge every time we drove by one of these.  The burger patties are small.  The fries are average....More,June 2019,In-N-Out Burger
joekerr23,50.0,"Gotta be the best fast food burger in the US. Always fresh and tasty, and very reasonably priced. 

Apparently the late great Tony Bourdain would eat one the second he arrived in LA, followed by another on his way to the airport. 

Animal style all...More",June 2019,In-N-Out Burger
573byrong,40.0,"I always enjoy their burger. Our family believe this is the best burger in states! We all are in love with In-N-Out...!  Although they are usually busy, we cannot stop coming here again and again!",May 2019,In-N-Out Burger
Faisal A,50.0,This was the best burger ever so far and I have tried a lot before every were in the world in more than 13 countries. Keep up the good work Guys.,February 2019,In-N-Out Burger
348emilyl,50.0,"We first experience In-N-Out Burgers on vacation in San Francisco and we love them!  This location reminded us of why - clean store, fast, Friendly staff and good food!",June 2019,In-N-Out Burger
Chris N,40.0,"No trip to the US and LA would be complete without a visit to the iconic In-N-Out Burger. I took my wife and teenage girls here for the first time, visiting from Australia, and surprisingly they loved it (not usually fans of burgers). The staff...More",May 2019,In-N-Out Burger
Europeonabudget,50.0,"Great fries and burgers. Love it every time.
They do really well with their limited menu.
I am a fan for life.",April 2019,In-N-Out Burger
RoadBlonde76,20.0,"For years, I’ve heard about In and Out Burger, so I expected to get one of the best burgers ever.  Sadly, not the case.  It was nothing special, especially after waiting in the drive-through line for 20 minutes.  Not particularly juicy, and not particularly tasty....More",October 2018,In-N-Out Burger
markusgogo80,40.0,"I have been here several times. They serve simple, tastefull burgers. You can just have a burger, burger with cheese or double burger... and fries.

on another hand, nothing Elise is needed.

There have been always queue when i have visit in there.

Will go...More",May 2019,In-N-Out Burger
Steve P,40.0,"My first time to visit in-N-Out burger and it was at sunset blvd.The place was packed.I can`t say it was wow, but definately better than McDonalds.",May 2019,In-N-Out Burger
M5080CSalexc,40.0,"Ate here for lunch, massive queue which is also a good sign. Reasonably priced. Prompt service. Would eat here again.",May 2019,In-N-Out Burger
auntylene,50.0,I was staying at a hotel nearby and noticed that this place was busy pretty much all day. I had to give it a try. The burgers are good and made fresh. Fries are ok but try out the animal fries. Milkshake is all right...More,May 2019,In-N-Out Burger
Russell T,50.0,"Went to the 'In-N-Out' burger restaurant in Hollywood, (at 7009 sunset blvd), and was pleasantly surprised. It is set up like a fast food place, with a drive through for those in a rush and dining inside. I placed our order at the counter, given...More",September 2018,In-N-Out Burger
451suzy,40.0,Lovely food .  Bit of a wait not too bad very busy and popular worth a try. Good menu easy to choose with number ordering system,March 2019,In-N-Out Burger
FunkyWanderer,40.0,"Every time I go to an In-N-Out I think “this is fast food just like the “others”” but when I actually eat the burger and fries, and drink the milkshake I’m reminded of the real, fresh ingredients and how much tastier this is compared to...More",April 2019,In-N-Out Burger
bennyvectra,50.0,"Must-eat when in US

Double-Double + Fries + Shakes

Long queue, but surprisingly high efficiency (waiting time not too bad)",March 2019,In-N-Out Burger
Abbie J,40.0,Great spot for awesome food and excellent service even though it was packed at 10:00pm. Drive through service was just as great 2 days ago! Yep... stopped twice in 3 days! We are hooked! Need to get this chain back to Wisconsin!!,March 2019,In-N-Out Burger
bertb97,50.0,"We pulled into the parking lot of a very busy In & Out Burger at lunchtime. Surprised that we found a parking space and surprised that we found a seat. For Avery long line, I was able to place my order in just a few...More",March 2019,In-N-Out Burger
ajcoco,40.0,"First time at an In and Out Burger. Reasonably priced, great burgers and fresh fries! Great quick stop.",March 2019,In-N-Out Burger
Eavila,50.0,"There is no burger like In-N-Out!! We tried Shake Shack, Five Guys and Fat Burger, the best burger is the double double with grilled onions of In-N-Out.",February 2019,In-N-Out Burger
franzludwigvan_73,30.0,"I know it’s California’s pride but it’s just like any other fast food. It’s cheap, good taste but always has super long line. Parking can be hard too (Hollywood area) so we always do the drive-thru.",March 2019,In-N-Out Burger
scottleavers,30.0,This place has been so hyped up maybe we are being unfair. But maybe It was prom night or something but there were about a hundred kids on their phones gabbing and slobberin on each other. We had to wait in that bright lobby almost...More,March 2019,In-N-Out Burger
CheekyGold,30.0,"Anyone rating these burgers as the best they've had have never been to Shake Shack! This location is two blocks away from the Walk of Fame. It's pretty clean, but it gets crowded fast. Wait time for food was about 20 minutes when I went...More",March 2019,In-N-Out Burger
TashW35,50.0,"I went to this chain restaurant early February at lunchtime, around 1.30pm and it was understandably rammed full of people.

I was staying in LA for a few days from the UK and had to try the food here! 

Service was fast when it came...More",February 2019,In-N-Out Burger
kanemochi,50.0,"There are fierce arguments over the best fast food burger in America.  I’ve tried them all and I admit there are strong arguments for many, many burger places.  This is a debate that will never be resolved.  My personal opinion is that In N Out...More",March 2019,In-N-Out Burger
erikhammarsten,40.0,"First time at this legendary burger place!
The burgers are probably some of the best I’ve tried, 5/5! But I wasn’t blown away by the fries. Could have been more crispy and tasteful. But I will come back again!",March 2019,In-N-Out Burger
JenAspacio,50.0,This is the only burger joint we actually liked during our visit to the states. Every other one was forgettable. The best tasting fries and the best lettuce wrapped burger in the world!,November 2018,In-N-Out Burger
Brian S,40.0,We stopped at this location as it is only 2 blocks to the Hollywood Stars and Chinese Theatre area.  The service was very good.  Finding a seat was a bit challenging but lots of food and customers move through this location very efficiently. They use...More,February 2019,In-N-Out Burger
actionsam1,50.0,"My go-to place to eat when in the west coast that I know is safe for my allergy. The double double burger and animal fries have never let me down! 
Wish we had one in the UK!!",September 2018,In-N-Out Burger
mitzc2018,20.0,"I was expecting so much because of the rave reviews however, it didn’t hit the mark. Don’t even get me started on the fries.",February 2019,In-N-Out Burger
212applef,30.0,"There’s a queue both in drive thru and in the order counter when we arrived. I was very excited to have some of the most reviewed burger here in the US. Sad to say, It’s an oversell. Patty was very thin and small for the...More",February 2019,In-N-Out Burger
ydc2018,30.0,"My review is a little biased because I'm just not a huge fan of burgers.  However, my daughter had been dreaming of having an In-N-Out burger after hearing all her favorite YouTubers talking about it.  Her reaction to the first bit was priceless.  Her eyes...More",January 2019,In-N-Out Burger
SUBZEROSKIDD10,50.0,"I have heard about In And Out Burger for years as the official state food of California. So when visiting Los Angeles for the first time, I knew I had to try it. We arrived around noon at the Sunset Blvd Hollywood location and to...More",January 2019,In-N-Out Burger
907pamc,50.0,"Went for lunch....and there is a long queue already! But i was done ordering in less than 20mins. Got my food for another 10mins or so.

Fast service. Good burger.",February 2019,In-N-Out Burger
martinperina,40.0,"This burger really costs for that waiting in long line. I was pretty surprised how crowded is the place is, but yeah, it's worth it.",January 2019,In-N-Out Burger
adadamico,40.0,"I wanted to find out what all the fuss was all about and why everyone asked if I had tried an In&Out yet??  Well, it was good - the best thing about it was its freshness - some of the best fries I have had...More",February 2019,In-N-Out Burger
